2026/09/15 15:00:32 [node 2] vote request from 1 , granted=true
2026/09/15 15:00:41 [node 2] vote request from 1 , granted=false
32026/09/15 15:00:41 [node 2] become candidate, term 3
2026/09/15 15:00:41 [node 2] BECAME LEADER , term 3
42026/09/15 15:00:42 [node 2] become candidate, term 4
2026/09/15 15:00:42 [node 2] vote request from 3 , granted=true
2026/09/15 15:00:42 [node 2] vote request from 1 , granted=true
2026/09/15 15:00:43 [node 2] vote request from 3 , granted=true
82026/09/15 15:00:43 [node 2] become candidate, term 8
2026/09/15 15:00:43 [node 2] BECAME LEADER , term 8
2026/09/15 15:00:52 [node 2] vote request from 3 , granted=true
292026/09/15 15:00:56 [node 2] become candidate, term 29
2026/09/15 15:00:56 [node 2] BECAME LEADER , term 29
2026/09/15 15:00:56 [node 2] vote request from 3 , granted=true
2026/09/15 15:00:57 [node 2] vote request from 1 , granted=true
322026/09/15 15:00:58 [node 2] become candidate, term 32
2026/09/15 15:00:58 [node 2] BECAME LEADER , term 32
2026/09/15 15:00:58 [node 2] vote request from 3 , granted=true
2026/09/15 15:00:58 [node 2] vote request from 1 , granted=true
